mmsi,ship_name,flag,window,episode_start,episode_end,duration_h,n_bins,continuity,centroid_lat,centroid_lon,radius_km,dwell_tier,location_class,nearest_facility,nearest_facility_km,resident_fixture,domestic_flag,dwell_score,trigger_category,escalate
419050311,JEHOVANISSI NET 199%,IND,india_mangalore_dec2025_jan2026,2025-12-13 05:00:00+00:00,2025-12-18 03:00:00+00:00,118.0,109,0.916,13.15807,74.5545,3.85,extended,open_water,Jamnagar (Sikka) marine terminal,1150.73,False,False,3,,False
538009334,COMMON ATLAS,MHL,india_mangalore_dec2025_jan2026,2025-12-13 09:00:00+00:00,2025-12-18 04:00:00+00:00,115.0,110,0.948,12.92991,74.81964,3.396,extended,open_water,Jamnagar (Sikka) marine terminal,1186.13,False,False,3,,False
563105700,ASL IXORA,SGP,india_mangalore_dec2025_jan2026,2025-12-08 16:00:00+00:00,2025-12-13 11:00:00+00:00,115.0,116,1.0,12.92991,74.81957,4.428,extended,open_water,Jamnagar (Sikka) marine terminal,1186.13,False,False,3,,False
354332000,TAN BINH 259,PAN,india_mangalore_dec2025_jan2026,2026-01-10 07:00:00+00:00,2026-01-14 23:00:00+00:00,112.0,113,1.0,12.93,74.82,0.0,extended,open_water,Jamnagar (Sikka) marine terminal,1186.14,False,False,3,,False
636015166,FLEVES,LBR,india_mangalore_dec2025_jan2026,2025-12-19 13:00:00+00:00,2025-12-24 04:00:00+00:00,111.0,112,1.0,12.93938,74.61,4.336,extended,open_water,Jamnagar (Sikka) marine terminal,1175.26,False,False,3,,False
419001654,KAVIRAJ,IND,india_mangalore_dec2025_jan2026,2025-12-20 12:00:00+00:00,2025-12-25 02:00:00+00:00,110.0,106,0.955,12.91689,74.67509,3.305,extended,open_water,Jamnagar (Sikka) marine terminal,1180.56,False,False,3,,False
538008175,YASA VENUS,MHL,india_mangalore_dec2025_jan2026,2025-12-29 01:00:00+00:00,2026-01-02 15:00:00+00:00,110.0,111,1.0,12.93,74.82,0.0,extended,open_water,Jamnagar (Sikka) marine terminal,1186.14,False,False,3,,False
419001470,CORONET,IND,india_mangalore_dec2025_jan2026,2025-12-04 16:00:00+00:00,2025-12-09 04:00:00+00:00,108.0,109,1.0,12.98018,74.60963,4.827,extended,open_water,Jamnagar (Sikka) marine terminal,1171.15,False,False,3,,False
419956204,BLUE DAIMOND,IND,india_mangalore_dec2025_jan2026,2025-12-08 09:00:00+00:00,2025-12-12 21:00:00+00:00,108.0,85,0.78,12.86082,74.22941,3.401,extended,open_water,Jamnagar (Sikka) marine terminal,1166.11,False,False,3,,False
447274000,GAS UMM AL ROWAISAT,KWT,india_mangalore_dec2025_jan2026,2025-12-30 16:00:00+00:00,2026-01-04 03:00:00+00:00,107.0,108,1.0,12.99769,74.61287,2.704,extended,open_water,Jamnagar (Sikka) marine terminal,1169.54,False,False,3,,False
219641000,TORM DAMINI,DNK,india_mangalore_dec2025_jan2026,2026-01-10 13:00:00+00:00,2026-01-14 23:00:00+00:00,106.0,107,1.0,12.96944,74.64,1.05,extended,open_water,Jamnagar (Sikka) marine terminal,1173.65,False,False,3,,False
477881600,SEAFRONTIER,HKG,india_mangalore_dec2025_jan2026,2025-12-01 19:00:00+00:00,2025-12-06 04:00:00+00:00,105.0,106,1.0,12.92,74.81,0.0,extended,open_water,Jamnagar (Sikka) marine terminal,1186.65,False,False,3,,False
538010490,DUBAI GALACTIC,MHL,india_mangalore_dec2025_jan2026,2026-01-10 14:00:00+00:00,2026-01-14 23:00:00+00:00,105.0,106,1.0,12.93,74.82,0.0,extended,open_water,Jamnagar (Sikka) marine terminal,1186.14,False,False,3,,False
419000905,DAWN MANSAROVAR,IND,india_mangalore_dec2025_jan2026,2025-12-05 00:00:00+00:00,2025-12-09 08:00:00+00:00,104.0,105,1.0,12.98,74.63409,0.64,extended,open_water,Jamnagar (Sikka) marine terminal,1172.31,False,False,3,,False
563105700,ASL IXORA,SGP,india_mangalore_dec2025_jan2026,2025-12-04 05:00:00+00:00,2025-12-08 13:00:00+00:00,104.0,105,1.0,12.95,74.6,0.0,extended,open_water,Jamnagar (Sikka) marine terminal,1173.73,False,False,3,,False
419000178,VISHVA VIKAS,IND,india_mangalore_dec2025_jan2026,2025-12-18 01:00:00+00:00,2025-12-22 08:00:00+00:00,103.0,104,1.0,12.93,74.82,0.0,extended,open_water,Jamnagar (Sikka) marine terminal,1186.14,False,False,3,,False
352005142,CL SPRUCE,PAN,india_mangalore_dec2025_jan2026,2026-01-03 12:00:00+00:00,2026-01-07 18:00:00+00:00,102.0,103,1.0,12.93,74.8199,1.073,extended,open_water,Jamnagar (Sikka) marine terminal,1186.13,False,False,3,,False
419000248,87,IND,india_mangalore_dec2025_jan2026,2025-12-01 00:00:00+00:00,2025-12-05 05:00:00+00:00,101.0,102,1.0,12.93,74.8198,1.063,extended,open_water,Jamnagar (Sikka) marine terminal,1186.13,False,False,3,,False
419000178,VISHVA VIKAS,IND,india_mangalore_dec2025_jan2026,2025-12-22 11:00:00+00:00,2025-12-26 14:00:00+00:00,99.0,100,1.0,12.9691,74.64,1.483,extended,open_water,Jamnagar (Sikka) marine terminal,1173.68,False,False,3,,False
